ORDERDATE,SHIPDATE,ORDERNUMBER,ORDERLINENUMBER,PRODUCTCODE,PRODUCTLINE,MSRP,CUSTOMERID,CUSTOMERNAME,CITY,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,QUANTITYORDERED,PRICEEACH,SALES,STATUS
2022-01-02,2022-01-06,10208,13,S12_1108,Classic Cars,207,1006753,"Saveley & Henriot, Co.",Lyon,France,EMEA,Saveley,Michael,46,100,8603,Shipped
2022-01-02,2022-01-06,10208,14,S12_3148,Classic Cars,151,1006753,"Saveley & Henriot, Co.",Lyon,France,EMEA,Saveley,Michael,26,100,3142.36,Shipped
2022-01-02,2022-01-06,10208,12,S12_3891,Classic Cars,173,1006753,"Saveley & Henriot, Co.",Lyon,France,EMEA,Saveley,Michael,20,100,3114.4,Shipped
2022-01-02,2022-01-06,10208,9,S18_3140,Vintage Cars,136,1006753,"Saveley & Henriot, Co.",Lyon,France,EMEA,Saveley,Michael,24,100,2622.48,Shipped
2022-01-02,2022-01-06,10208,11,S18_3259,Trains,100,1006753,"Saveley & Henriot, Co.",Lyon,France,EMEA,Saveley,Michael,48,100,5614.56,Shipped
2022-01-02,2022-01-06,10208,8,S18_4522,Vintage Cars,87,1006753,"Saveley & Henriot, Co.",Lyon,France,EMEA,Saveley,Michael,45,87.77,3949.65,Shipped
2022-01-02,2022-01-06,10208,7,S24_2011,Ships,122,1006753,"Saveley & Henriot, Co.",Lyon,France,EMEA,Saveley,Michael,35,100,4301.15,Shipped
2022-01-02,2022-01-06,10208,2,S24_3151,Vintage Cars,88,1006753,"Saveley & Henriot, Co.",Lyon,France,EMEA,Saveley,Michael,20,89.4,1788,Shipped
2022-01-02,2022-01-06,10208,15,S50_1514,Trains,58,1006753,"Saveley & Henriot, Co.",Lyon,France,EMEA,Saveley,Michael,30,65.61,1968.3,Shipped
2022-01-02,2022-01-06,10208,3,S700_1138,Ships,66,1006753,"Saveley & Henriot, Co.",Lyon,France,EMEA,Saveley,Michael,38,74.67,2837.46,Shipped
2022-01-02,2022-01-06,10208,10,S700_1938,Ships,86,1006753,"Saveley & Henriot, Co.",Lyon,France,EMEA,Saveley,Michael,40,80.55,3222,Shipped
2022-01-02,2022-01-06,10208,1,S700_2610,Ships,72,1006753,"Saveley & Henriot, Co.",Lyon,France,EMEA,Saveley,Michael,46,74.45,3424.7,Shipped
2022-01-02,2022-01-06,10208,4,S700_3505,Ships,100,1006753,"Saveley & Henriot, Co.",Lyon,France,EMEA,Saveley,Michael,37,100,4447.4,Shipped
2022-01-02,2022-01-06,10208,5,S700_3962,Ships,99,1006753,"Saveley & Henriot, Co.",Lyon,France,EMEA,Saveley,Michael,33,85.41,2818.53,Shipped
2022-01-02,2022-01-06,10208,6,S72_3212,Ships,54,1006753,"Saveley & Henriot, Co.",Lyon,France,EMEA,Saveley,Michael,42,63.88,2682.96,Shipped
2022-01-05,2022-01-09,10362,4,S10_4698,Motorcycles,193,1006728,Technics Stores Inc.,Burlingame,USA,NA,Hirano,Kwai,22,100,3664.1,Shipped
2022-01-05,2022-01-09,10362,1,S12_2823,Motorcycles,150,1006728,Technics Stores Inc.,Burlingame,USA,NA,Hirano,Kwai,22,100,3877.06,Shipped
2022-01-05,2022-01-09,10362,3,S18_2625,Motorcycles,60,1006728,Technics Stores Inc.,Burlingame,USA,NA,Hirano,Kwai,23,49.67,1142.41,Shipped
2022-01-05,2022-01-09,10362,2,S24_1578,Motorcycles,112,1006728,Technics Stores Inc.,Burlingame,USA,NA,Hirano,Kwai,50,96.92,4846,Shipped
2022-01-06,2022-01-10,10100,3,S18_1749,Vintage Cars,170,1006763,Online Diecast Creations Co.,Nashua,USA,NA,Young,Michael,30,100,5151,Shipped
2022-01-06,2022-01-10,10100,2,S18_2248,Vintage Cars,60,1006763,Online Diecast Creations Co.,Nashua,USA,NA,Young,Michael,50,67.8,3390,Shipped
2022-01-06,2022-01-10,10100,4,S18_4409,Vintage Cars,92,1006763,Online Diecast Creations Co.,Nashua,USA,NA,Young,Michael,22,86.51,1903.22,Shipped
2022-01-06,2022-01-10,10100,1,S24_3969,Vintage Cars,41,1006763,Online Diecast Creations Co.,Nashua,USA,NA,Young,Michael,49,34.47,1689.03,Shipped
2022-01-06,2022-01-10,10363,3,S12_1099,Classic Cars,194,1006796,Suominen Souveniers,Espoo,Finland,EMEA,Suominen,Tony,33,85.39,2817.87,Shipped
2022-01-06,2022-01-10,10363,4,S12_3380,Classic Cars,117,1006796,Suominen Souveniers,Espoo,Finland,EMEA,Suominen,Tony,34,96.73,3288.82,Shipped
2022-01-06,2022-01-10,10363,5,S12_3990,Classic Cars,79,1006796,Suominen Souveniers,Espoo,Finland,EMEA,Suominen,Tony,34,81.62,2775.08,Shipped
2022-01-06,2022-01-10,10363,6,S12_4675,Classic Cars,115,1006796,Suominen Souveniers,Espoo,Finland,EMEA,Suominen,Tony,46,88.45,4068.7,Shipped
2022-01-06,2022-01-10,10363,7,S18_1889,Classic Cars,77,1006796,Suominen Souveniers,Espoo,Finland,EMEA,Suominen,Tony,22,100,3686.54,Shipped
2022-01-06,2022-01-10,10363,10,S18_3278,Classic Cars,80,1006796,Suominen Souveniers,Espoo,Finland,EMEA,Suominen,Tony,46,60.3,2773.8,Shipped
2022-01-06,2022-01-10,10363,11,S18_3482,Classic Cars,146,1006796,Suominen Souveniers,Espoo,Finland,EMEA,Suominen,Tony,24,100,4142.64,Shipped
2022-01-06,2022-01-10,10363,12,S18_3782,Motorcycles,62,1006796,Suominen Souveniers,Espoo,Finland,EMEA,Suominen,Tony,32,89.12,2851.84,Shipped
2022-01-06,2022-01-10,10363,13,S18_4721,Classic Cars,148,1006796,Suominen Souveniers,Espoo,Finland,EMEA,Suominen,Tony,28,58.18,1629.04,Shipped
2022-01-06,2022-01-10,10363,8,S24_2000,Motorcycles,76,1006796,Suominen Souveniers,Espoo,Finland,EMEA,Suominen,Tony,21,100,3595.62,Shipped
2022-01-06,2022-01-10,10363,14,S24_2360,Motorcycles,69,1006796,Suominen Souveniers,Espoo,Finland,EMEA,Suominen,Tony,43,61.23,2632.89,Shipped
2022-01-06,2022-01-10,10363,15,S24_3371,Classic Cars,61,1006796,Suominen Souveniers,Espoo,Finland,EMEA,Suominen,Tony,21,100,2447.76,Shipped
2022-01-06,2022-01-10,10363,1,S24_3856,Classic Cars,140,1006796,Suominen Souveniers,Espoo,Finland,EMEA,Suominen,Tony,31,94.58,2931.98,Shipped
2022-01-06,2022-01-10,10363,9,S24_4620,Classic Cars,80,1006796,Suominen Souveniers,Espoo,Finland,EMEA,Suominen,Tony,43,100,5154.41,Shipped
2022-01-06,2022-01-10,10363,2,S32_1374,Motorcycles,99,1006796,Suominen Souveniers,Espoo,Finland,EMEA,Suominen,Tony,50,100,6576.5,Shipped
2022-01-06,2022-01-10,10364,1,S32_2206,Motorcycles,40,1006790,Marseille Mini Autos,Marseille,France,EMEA,Lebihan,Tony,48,48.28,2317.44,Shipped
2022-01-07,2022-01-11,10365,1,S18_1129,Classic Cars,141,1006773,Mini Creations Ltd.,New Bedford,USA,NA,Tam,Daniel,30,87.06,2611.8,Shipped
2022-01-07,2022-01-11,10365,3,S32_4485,Motorcycles,102,1006773,Mini Creations Ltd.,New Bedford,USA,NA,Tam,Daniel,22,100,3425.18,Shipped
2022-01-07,2022-01-11,10365,2,S50_4713,Motorcycles,81,1006773,Mini Creations Ltd.,New Bedford,USA,NA,Tam,Daniel,44,100,4984.32,Shipped
2022-01-09,2022-01-13,10101,4,S18_2325,Vintage Cars,127,1006795,"Blauer See Auto, Co.",Frankfurt,Germany,EMEA,Keitel,Tony,25,100,3782,Shipped
2022-01-09,2022-01-13,10101,1,S18_2795,Vintage Cars,168,1006795,"Blauer See Auto, Co.",Frankfurt,Germany,EMEA,Keitel,Tony,26,100,3773.38,Shipped
2022-01-09,2022-01-13,10101,3,S24_1937,Vintage Cars,33,1006795,"Blauer See Auto, Co.",Frankfurt,Germany,EMEA,Keitel,Tony,45,31.2,1404,Shipped
2022-01-09,2022-01-13,10101,2,S24_2022,Vintage Cars,44,1006795,"Blauer See Auto, Co.",Frankfurt,Germany,EMEA,Keitel,Tony,46,53.76,2472.96,Shipped
2022-01-09,2022-01-13,10209,8,S10_4757,Classic Cars,136,1006777,"Men 'R' US Retailers, Ltd.",Los Angeles,USA,NA,Chandler,Eduardo,39,100,5197.92,Shipped
2022-01-09,2022-01-13,10209,6,S18_3029,Ships,86,1006777,"Men 'R' US Retailers, Ltd.",Los Angeles,USA,NA,Chandler,Eduardo,28,100,2817.92,Shipped
2022-01-09,2022-01-13,10209,5,S18_3856,Vintage Cars,105,1006777,"Men 'R' US Retailers, Ltd.",Los Angeles,USA,NA,Chandler,Eduardo,20,100,2498.6,Shipped
2022-01-09,2022-01-13,10209,1,S24_2841,Planes,68,1006777,"Men 'R' US Retailers, Ltd.",Los Angeles,USA,NA,Chandler,Eduardo,43,82.21,3535.03,Shipped
2022-01-09,2022-01-13,10209,2,S24_3420,Vintage Cars,65,1006777,"Men 'R' US Retailers, Ltd.",Los Angeles,USA,NA,Chandler,Eduardo,36,77.59,2793.24,Shipped
2022-01-09,2022-01-13,10209,7,S24_3816,Vintage Cars,83,1006777,"Men 'R' US Retailers, Ltd.",Los Angeles,USA,NA,Chandler,Eduardo,22,89.73,1974.06,Shipped
2022-01-09,2022-01-13,10209,4,S700_2047,Ships,90,1006777,"Men 'R' US Retailers, Ltd.",Los Angeles,USA,NA,Chandler,Eduardo,33,88.71,2927.43,Shipped
2022-01-09,2022-01-13,10209,3,S72_1253,Planes,49,1006777,"Men 'R' US Retailers, Ltd.",Los Angeles,USA,NA,Chandler,Eduardo,48,44.69,2145.12,Shipped
2022-01-10,2022-01-14,10102,2,S18_1342,Vintage Cars,102,1006734,Vitachrome Inc.,NYC,USA,NA,Frick,Kwai,39,100,4808.31,Shipped
2022-01-10,2022-01-14,10102,1,S18_1367,Vintage Cars,53,1006734,Vitachrome Inc.,NYC,USA,NA,Frick,Kwai,41,50.14,2055.74,Shipped
2022-01-10,2022-01-14,10366,3,S18_1984,Classic Cars,142,1006813,Royale Belge,Charleroi,Belgium,EMEA,Cartrain,Leslie,34,100,4207.84,Shipped
2022-01-10,2022-01-14,10366,2,S18_2870,Classic Cars,132,1006813,Royale Belge,Charleroi,Belgium,EMEA,Cartrain,Leslie,49,100,6144.6,Shipped
2022-01-10,2022-01-14,10366,1,S18_3232,Classic Cars,169,1006813,Royale Belge,Charleroi,Belgium,EMEA,Cartrain,Leslie,34,100,6275.72,Shipped
2022-01-12,2022-01-16,10210,2,S10_2016,Motorcycles,118,1006767,Osaka Souveniers Co.,Osaka,Japan,Japan,Kentary,Michael,23,100,3009.09,Shipped
2022-01-12,2022-01-16,10210,1,S10_4698,Motorcycles,193,1006767,Osaka Souveniers Co.,Osaka,Japan,Japan,Kentary,Michael,34,100,6123.4,Shipped
2022-01-12,2022-01-16,10210,17,S18_1662,Planes,157,1006767,Osaka Souveniers Co.,Osaka,Japan,Japan,Kentary,Michael,31,100,5719.5,Shipped
2022-01-12,2022-01-16,10210,7,S18_2581,Planes,84,1006767,Osaka Souveniers Co.,Osaka,Japan,Japan,Kentary,Michael,50,76.88,3844,Shipped
2022-01-12,2022-01-16,10210,3,S18_2625,Motorcycles,60,1006767,Osaka Souveniers Co.,Osaka,Japan,Japan,Kentary,Michael,40,49.67,1986.8,Shipped
2022-01-12,2022-01-16,10210,9,S24_1785,Planes,109,1006767,Osaka Souveniers Co.,Osaka,Japan,Japan,Kentary,Michael,27,98.48,2658.96,Shipped
2022-01-12,2022-01-16,10210,4,S24_2000,Motorcycles,76,1006767,Osaka Souveniers Co.,Osaka,Japan,Japan,Kentary,Michael,30,61.7,1851,Shipped
2022-01-12,2022-01-16,10210,16,S24_3949,Planes,68,1006767,Osaka Souveniers Co.,Osaka,Japan,Japan,Kentary,Michael,29,69.6,2018.4,Shipped
2022-01-12,2022-01-16,10210,8,S24_4278,Planes,72,1006767,Osaka Souveniers Co.,Osaka,Japan,Japan,Kentary,Michael,40,71,2840,Shipped
